GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
request,org.sfa.request.constant,SaayamStatusCode,3,225,0,0,1,29,1,3,1,3
request,org.sfa.request.config,ObjectMapperConfig,23,0,0,0,6,0,3,0,3,0
request,org.sfa.request.config,SpringContext,17,0,2,0,4,0,3,0,2,0
request,org.sfa.request.config,InternationalizationConfig,0,35,0,0,0,11,0,4,0,4
request,org.sfa.request.config,OpenApiConfig,0,17,0,0,0,6,0,2,0,2
request,org.sfa.request.model.enums,RequestStatusEnum,3,74,0,0,1,13,1,2,1,2
request,org.sfa.request.model.enums,RequestPriorityEnum,3,46,0,0,1,9,1,2,1,2
request,org.sfa.request.model.enums,RequestTypeEnum,3,32,0,0,1,7,1,2,1,2
request,org.sfa.request.model.enums,RequestCategoryEnum,3,46,0,0,1,9,1,2,1,2
request,org.sfa.request.model.enums,RequestForEnum,3,32,0,0,1,7,1,2,1,2
request,org.sfa.request.requesthandler,CancelRequestHandler,87,0,0,0,23,0,3,0,3,0
request,org.sfa.request.requesthandler,ResumeRequestHandler,87,0,0,0,19,0,3,0,3,0
request,org.sfa.request.requesthandler,CreateRequestHandler,92,0,0,0,20,0,3,0,3,0
request,org.sfa.request.requesthandler,BaseRequestHandler,78,0,4,0,19,0,7,0,5,0
request,org.sfa.request.requesthandler,DeleteRequestHandler,93,0,0,0,21,0,3,0,3,0
request,org.sfa.request.requesthandler,UpdateRequestHandler,88,0,0,0,19,0,3,0,3,0
request,org.sfa.request.requesthandler,GetRequestHandler,111,0,4,0,22,0,5,0,3,0
request,org.sfa.request.exception.handler,LambdaExceptionHandler,268,0,12,0,50,0,17,0,11,0
request,org.sfa.request.exception.handler,GlobalExceptionHandler,142,41,0,0,26,12,5,4,5,4
request,org.sfa.request.response,SaayamResponse,47,57,2,0,9,14,8,9,7,9
request,org.sfa.request.response,PagedResponse,48,0,0,0,15,0,8,0,8,0
request,org.sfa.request.response,SaayamResponse.SaayamResponseBuilder,14,49,0,0,0,1,1,8,1,8
request,org.sfa.request,RequestApplication,0,8,0,0,0,3,0,2,0,2
request,org.sfa.request.service.impl,RequestServiceImpl,831,28,14,0,127,2,36,2,29,2
request,org.sfa.request.model.entity,RequestType,17,246,11,35,0,9,11,28,0,16
request,org.sfa.request.model.entity,Request,79,608,50,76,0,19,47,53,0,37
request,org.sfa.request.model.entity,Request.RequestBuilder,32,112,0,0,0,1,1,17,1,17
request,org.sfa.request.model.entity,RequestPriority,17,246,11,35,0,9,11,28,0,16
request,org.sfa.request.model.entity,RequestFor,17,246,11,35,0,9,11,28,0,16
request,org.sfa.request.model.entity,RequestCategory,17,246,11,35,0,9,11,28,0,16
request,org.sfa.request.model.entity,RequestStatus,17,249,11,35,0,10,11,29,0,17
request,org.sfa.request.aop,LoggingAspect,97,7,2,0,16,2,2,2,1,2
request,org.sfa.request.dto,RequestDTO,2,638,1,117,0,17,1,92,0,34
request,org.sfa.request.dto,RequestStatusDTO,2,79,1,13,0,4,1,14,0,8
request,org.sfa.request.dto,RequestCategoryDTO,2,79,1,13,0,4,1,14,0,8
request,org.sfa.request.dto,RequestTypeDTO,2,79,1,13,0,4,1,14,0,8
request,org.sfa.request.dto,RequestPriorityDTO,2,79,1,13,0,4,1,14,0,8
request,org.sfa.request.dto,RequestForDTO,2,79,1,13,0,4,1,14,0,8
request,org.sfa.request.exception.types,EnumUnspecifiedException,5,4,0,0,2,2,1,1,1,1
request,org.sfa.request.exception.types,BaseException,6,18,0,0,1,7,1,3,1,3
request,org.sfa.request.exception.types,UnauthorizedException,13,0,0,0,4,0,2,0,2,0
request,org.sfa.request.exception.types,InvalidRequestException,13,0,0,0,4,0,2,0,2,0
request,org.sfa.request.exception.types,NotFoundException,7,6,0,0,2,2,1,1,1,1
request,org.sfa.request.exception.types,ConflictException,13,0,0,0,4,0,2,0,2,0
request,org.sfa.request.exception.types,ForbiddenException,13,0,0,0,4,0,2,0,2,0
request,org.sfa.request.exception.types,LambdaTimeoutException,11,0,0,0,4,0,2,0,2,0
request,org.sfa.request.controller,RequestController,54,69,0,0,11,13,3,5,3,5
